3.677253723144531250e+01,2.871698856353759766e+00,1.028123092651367188e+01,8.037592887878417969e+00,4.111297130584716797e+00,1.406591653823852539e+00,2.330575227737426758e+00,6.726746082305908203e+00,1.343434691429138184e+00,7.055956840515136719e+00,1.014020538330078125e+01,3.529638528823852539e+00,6.583049774169921875e+01,9.218685150146484375e+01,8.067730903625488281e+00,5.000000000000000000e+00
3.524899291992187500e+01,1.614224195480346680e+00,1.256506824493408203e+01,5.569945812225341797e+00,6.000333309173583984e+00,1.319561958312988281e+00,1.314039587974548340e+00,7.643895626068115234e+00,1.682777762413024902e+00,6.252281665802001953e+00,9.083762168884277344e+00,2.565916776657104492e+00,3.290657806396484375e+01,1.293237915039062500e+02,5.964593410491943359e+00,5.000000000000000000e+00
3.519464111328125000e+01,8.657002449035644531e-01,1.420224857330322266e+01,4.006660938262939453e+00,6.737111568450927734e+00,1.460096478462219238e+00,1.775239586830139160e+00,7.500432491302490234e+00,1.936669230461120605e+00,6.049273490905761719e+00,7.845768451690673828e+00,3.938749551773071289e+00,1.684112167358398438e+01,1.458517761230468750e+02,3.772316217422485352e+00,5.000000000000000000e+00
2.887638282775878906e+01,9.590968489646911621e-01,1.212550163269042969e+01,6.849130153656005859e+00,6.260793209075927734e+00,1.841501712799072266e+00,6.586347222328186035e-01,7.017473220825195312e+00,2.458028078079223633e+00,4.061020374298095703e+00,8.336091995239257812e+00,5.752801418304443359e+00,8.366179466247558594e+00,7.891217041015625000e+01,5.402556991577148438e+01,5.000000000000000000e+00
3.196652030944824219e+01,8.332217931747436523e-01,1.174587249755859375e+01,6.363331317901611328e+00,6.111333370208740234e+00,1.710826277732849121e+00,6.274802088737487793e-01,6.287151336669921875e+00,2.028272151947021484e+00,4.558297634124755859e+00,8.341678619384765625e+00,5.045513153076171875e+00,9.651549339294433594e+00,1.333979187011718750e+02,1.684257507324218750e+01,5.000000000000000000e+00
3.423279571533203125e+01,2.584134042263031006e-01,1.326507949829101562e+01,5.379263877868652344e+00,6.430599689483642578e+00,2.071320295333862305e+00,7.871029973030090332e-01,6.190678119659423828e+00,1.486749053001403809e+00,5.465618610382080078e+00,9.671877861022949219e+00,3.547031402587890625e+00,1.276014423370361328e+01,1.424922180175781250e+02,9.998953819274902344e+00,5.000000000000000000e+00
3.536912155151367188e+01,8.100529313087463379e-01,1.560522270202636719e+01,4.785366058349609375e+00,6.374188899993896484e+00,2.133683204650878906e+00,7.391633987426757812e-01,5.803855419158935547e+00,6.795490980148315430e-01,5.975185394287109375e+00,8.976595878601074219e+00,3.225742816925048828e+00,1.491126060485839844e+01,1.496700744628906250e+02,6.315847873687744141e+00,5.000000000000000000e+00
3.165734100341796875e+01,2.690518140792846680e+00,1.300786876678466797e+01,2.858221054077148438e+00,5.446683406829833984e+00,1.757164359092712402e+00,4.432512760162353516e+00,6.471055030822753906e+00,1.964060068130493164e-01,1.119576454162597656e+01,7.516246795654296875e+00,5.982453346252441406e+00,1.054168319702148438e+01,1.462383117675781250e+02,5.149188518524169922e+00,5.000000000000000000e+00
2.769654273986816406e+01,2.532677888870239258e+00,1.967803001403808594e+01,2.306845664978027344e+00,5.524633884429931641e+00,1.435411572456359863e+00,3.409987688064575195e+00,7.030512332916259766e+00,1.665045976638793945e+00,1.611539459228515625e+01,6.841891765594482422e+00,7.248191356658935547e+00,1.169820499420166016e+01,1.449005584716796875e+02,4.937935352325439453e+00,5.000000000000000000e+00
2.597750091552734375e+01,2.502915143966674805e+00,1.948938941955566406e+01,1.233647465705871582e+00,4.707330703735351562e+00,1.370460391044616699e+00,3.814764738082885742e+00,6.808993816375732422e+00,1.574490427970886230e+00,1.637423706054687500e+01,7.005372524261474609e+00,7.402830600738525391e+00,1.244400978088378906e+01,1.423600769042968750e+02,6.433886051177978516e+00,5.000000000000000000e+00
